O*NET-SOC Code,Title,Skills,Interests,Education,Workstyles
15-1252.00,Software Developer,0.9,0.8,0.7,0.85
29-1141.00,Registered Nurse,0.6,0.7,0.9,0.95
11-1021.00,General Manager,0.7,0.6,0.6,0.7
13-2011.00,Accountant,0.8,0.5,0.8,0.75
27-1024.00,Graphic Designer,0.6,0.9,0.6,0.65
17-2141.00,Mechanical Engineer,0.85,0.7,0.8,0.8
25-2021.00,Elementary School Teacher,0.7,0.8,0.9,0.85
43-6014.00,Admin Assistant,0.6,0.4,0.5,0.65
15-1211.00,Systems Analyst,0.85,0.75,0.8,0.8
27-3043.00,Writer/Author,0.65,0.95,0.7,0.7
